srcip,dstip,dstport,count
939,940,57181,1
742,1,53772,1
740,18,35618,1
924,8,58368,1
925,10,51170,1
926,927,60333,1
927,926,2404,1
928,10,34756,1
929,18,37794,1
690,689,2404,1
708,18,41728,1
710,1,39294,1
711,18,36058,1
601,18,48150,1
598,18,59002,1
719,10,56594,1
931,10,41068,1
714,10,56902,1
715,8,44028,1
932,1,55706,1
716,1,2404,1
935,10,59082,1
937,10,36128,1
594,8,2404,1
593,10,56350,1
719,8,38370,1
938,10,48480,1
691,18,58814,1
794,1,2404,1
896,8,57758,1
819,1,37050,1
775,809,2404,1
775,776,2404,1
653,38,51746,1
773,799,2404,1
773,774,2404,1
771,1,46542,1
672,10,54806,1
770,1,57496,1
651,1,33396,1
817,1,2404,1
818,38,51859,1
769,1,54304,1
768,8,2404,1
777,38,51395,1
820,8,52922,1
766,8,50402,1
825,18,50682,1
732,18,40912,1
826,1,2404,1
765,1,43006,1
646,10,45236,1
829,1,42990,1
763,8,43558,1
762,1,39528,1
830,18,48456,1
761,38,51726,1
815,10,45716,1
656,655,2404,1
833,10,58116,1
807,808,50161,1
797,8,34090,1
800,38,52334,1
668,18,48092,1
788,38,51704,1
803,1,2404,1
667,10,55692,1
786,787,2404,1
667,8,36034,1
804,10,48964,1
665,18,54434,1
784,38,51764,1
805,806,2404,1
808,807,2404,1
778,156,2404,1
780,38,51473,1
662,18,59036,1
660,1,2404,1
659,8,42632,1
808,862,2404,1
658,8,39396,1
808,868,2404,1
811,8,2404,1
657,10,42704,1
656,798,2404,1
656,793,2404,1
779,1,54268,1
831,38,51790,1
834,10,54136,1
894,1,2404,1
876,8,41030,1
626,8,59778,1
859,8,33246,1
861,8,2404,1
685,38,51722,1
867,18,35956,1
624,8,40668,1
872,1,36986,1
622,18,58804,1
873,8,38570,1
621,1,52022,1
620,8,2404,1
875,8,36842,1
878,10,41752,1
858,18,50630,1
879,10,50568,1
795,8,46370,1
619,18,33536,1
881,8,39090,1
884,8,40672,1
885,8,2404,1
687,10,57872,1
689,690,56154,1
890,891,2404,1
891,890,50423,1
749,10,59814,1
893,10,41100,1
627,10,35636,1
856,1,47122,1
759,8,2404,1
635,1,59736,1
644,18,33990,1
758,8,2404,1
675,10,55894,1
643,1,47250,1
677,10,58900,1
837,1,39314,1
678,10,45948,1
841,10,60954,1
679,1,55850,1
842,18,40890,1
753,10,58656,1
843,8,2404,1
845,18,40598,1
854,18,48458,1
846,18,39180,1
633,18,56666,1
631,10,48686,1
751,1,58358,1
630,18,44780,1
681,18,33182,1
682,10,58136,1
683,8,58322,1
849,1,57620,1
850,10,46480,1
683,10,41620,1
852,8,2404,1
880,10,51872,1
10,946,2404,1
1,156,2404,1
10,713,2404,1
38,84,2405,1
38,126,2405,1
38,246,2405,1
38,304,2404,1
38,583,2405,1
38,653,2405,1
38,702,2405,1
38,735,2405,1
38,761,2405,1
38,780,2405,1
38,781,2405,1
38,782,2405,1
38,783,2405,1
38,784,2405,1
38,785,2405,1
38,788,2405,1
38,791,2405,1
10,697,2404,1
10,714,2404,1
18,858,2404,1
10,719,2404,1
18,867,2404,1
18,874,2404,1
18,888,2404,1
18,889,2404,1
18,904,2404,1
18,915,2404,1
18,916,2404,1
18,918,2404,1
18,920,2404,1
18,929,2404,1
18,952,2404,1
10,804,2404,1
10,749,2404,1
10,748,2404,1
10,739,2404,1
10,736,2404,1
10,725,2404,1
38,800,2405,1
38,818,2405,1
38,831,2405,1
38,897,2405,1
60,640,2404,1
10,609,2404,1
10,590,2404,1
10,587,2404,1
10,566,2404,1
10,552,2404,1
10,543,2404,1
10,542,2404,1
10,506,2404,1
10,485,2404,1
10,484,2404,1
10,461,2404,1
10,460,2404,1
10,457,2404,1
10,441,2404,1
10,424,2404,1
10,423,2404,1
10,627,2404,1
10,628,2404,1
10,631,2404,1
10,682,2404,1
38,900,2405,1
38,901,2405,1
38,908,2405,1
38,909,2405,1
38,913,2405,1
38,941,2405,1
38,947,2405,1
10,678,2404,1
10,646,2404,1
10,677,2404,1
10,675,2404,1
10,672,2404,1
10,667,2404,1
10,664,2404,1
10,657,2404,1
10,649,2404,1
18,860,2404,1
18,857,2404,1
570,8,47106,1
18,176,2404,1
18,200,2404,1
18,215,2404,1
10,822,2404,1
18,228,2404,1
10,821,2404,1
18,307,2404,1
18,323,2404,1
18,335,2404,1
18,340,2404,1
18,346,2404,1
10,816,2404,1
18,355,2404,1
10,815,2404,1
18,377,2404,1
10,814,2404,1
18,409,2404,1
18,410,2404,1
10,834,2404,1
10,839,2404,1
18,854,2404,1
10,841,2404,1
14,13,2404,1
10,938,2404,1
10,935,2404,1
